Time	Kin Energy	Mag Energy	Kin Dissip	Mag Dissip	Cross-Hel	Mag-Hel
--------------------------------------------------------------------------------------------------------
0	0.077455408	0.08609052	0.011185905	0.022289963	0.0017204071	-0.00072661953
0.0025	0.077452965	0.086087438	0.011185844	0.022289569	0.0017196461	-0.00072659729
0.005	0.077450729	0.086084629	0.011185787	0.022289203	0.0017189443	-0.00072657755
0.0075	0.07744851	0.086081814	0.01118573	0.022288831	0.001718245	-0.00072655757
0.01	0.077446291	0.086078986	0.011185675	0.022288452	0.0017175377	-0.00072653778
0.0125	0.077444098	0.086076157	0.01118562	0.022288064	0.0017168338	-0.00072651675
0.015	0.077441914	0.086073312	0.011185565	0.022287671	0.0017161264	-0.00072649561
0.0175	0.077439755	0.08607046	0.01118551	0.022287271	0.0017154224	-0.00072647521
0.02	0.077437604	0.086067601	0.011185453	0.022286866	0.0017147127	-0.00072645508
0.0225	0.077435452	0.086064734	0.011185396	0.022286455	0.001713997	-0.00072643529
0.025	0.077433317	0.086061863	0.011185336	0.022286039	0.0017132866	-0.00072641557
0.0275	0.077431201	0.086058978	0.011185276	0.022285617	0.0017125768	-0.00072639527
0.03	0.077429088	0.086056082	0.011185215	0.02228519	0.0017118657	-0.00072637519
0.0325	0.077426985	0.086053183	0.011185152	0.022284758	0.0017111504	-0.00072635533
0.035	0.077424892	0.086050275	0.011185087	0.022284324	0.0017104241	-0.0007263356
0.0375	0.077422803	0.086047364	0.011185019	0.022283886	0.0017096943	-0.00072631535
0.04	0.077420724	0.086044441	0.011184948	0.022283444	0.0017089667	-0.00072629585
0.0425	0.077418652	0.08604151	0.011184878	0.022282999	0.001708236	-0.0007262756
0.045	0.077416592	0.086038574	0.011184808	0.02228255	0.0017075029	-0.0007262542
0.0475	0.077414543	0.086035623	0.011184737	0.022282096	0.0017067759	-0.00072623246
0.05	0.077412517	0.086032668	0.011184666	0.022281638	0.0017060476	-0.00072621083
0.0525	0.077410499	0.086029708	0.011184595	0.022281173	0.0017053181	-0.00072618911
0.055	0.07740849	0.086026739	0.011184525	0.022280702	0.0017045869	-0.00072616746
0.0575	0.077406491	0.086023768	0.011184454	0.022280226	0.0017038582	-0.00072614652
0.06	0.077404498	0.086020779	0.011184381	0.022279745	0.0017031284	-0.00072612558
0.0625	0.077402523	0.086017788	0.011184306	0.022279263	0.0017023911	-0.00072610537
0.065	0.07740055	0.086014788	0.011184228	0.022278777	0.0017016494	-0.00072608422
0.0675	0.07739858	0.08601178	0.011184149	0.022278287	0.0017009083	-0.00072606287
0.07	0.077396637	0.086008765	0.01118407	0.022277795	0.001700182	-0.00072604149
0.0725	0.077394703	0.086005743	0.01118399	0.022277298	0.0016994559	-0.00072602061
0.075	0.077392778	0.086002714	0.01118391	0.022276799	0.0016987288	-0.00072599898
0.0775	0.077390867	0.085999676	0.01118383	0.022276297	0.0016980072	-0.00072597701
0.08	0.077388967	0.08599663	0.01118375	0.022275791	0.0016972833	-0.00072595553
0.0825	0.077387068	0.085993578	0.011183669	0.022275281	0.001696552	-0.00072593485
0.085	0.077385189	0.085990519	0.011183588	0.02227477	0.0016958167	-0.00072591363
0.0875	0.077383311	0.085987456	0.011183506	0.022274255	0.0016950733	-0.00072589193
0.09	0.077381444	0.085984382	0.011183424	0.022273739	0.0016943292	-0.00072587119
0.0925	0.077379596	0.085981304	0.011183341	0.022273218	0.0016935899	-0.00072584949
0.095	0.077377748	0.085978216	0.011183258	0.022272695	0.0016928461	-0.00072582792
0.0975	0.077375913	0.085975121	0.011183175	0.022272169	0.0016920962	-0.00072580585
0.1	0.077374087	0.085972024	0.01118309	0.02227164	0.0016913477	-0.00072578365
0.1025	0.077372286	0.085968917	0.011183005	0.02227111	0.0016906163	-0.0007257615
0.105	0.077370493	0.085965807	0.011182921	0.022270577	0.0016898705	-0.00072573958
0.1075	0.077368689	0.085962685	0.011182837	0.02227004	0.0016891196	-0.0007257177
0.11	0.077366899	0.085959558	0.011182751	0.022269503	0.0016883664	-0.00072569597
0.1125	0.077365103	0.085956425	0.011182665	0.022268963	0.0016876092	-0.00072567395
0.115	0.077363317	0.085953288	0.011182578	0.022268422	0.0016868426	-0.00072565213
0.1175	0.077361543	0.085950137	0.011182491	0.022267879	0.0016860789	-0.0007256293
0.12	0.077359785	0.085946987	0.011182405	0.022267335	0.0016853154	-0.00072560677
0.1225	0.07735805	0.08594383	0.011182321	0.022266788	0.0016845489	-0.00072558424
0.125	0.077356325	0.085940661	0.011182237	0.022266238	0.0016837819	-0.00072556198
0.1275	0.077354598	0.085937489	0.011182154	0.022265687	0.0016830145	-0.0007255398
0.13	0.077352891	0.085934312	0.011182072	0.022265133	0.0016822606	-0.00072551739
0.1325	0.077351193	0.085931128	0.011181991	0.022264578	0.0016814978	-0.00072549544
0.135	0.077349492	0.085927938	0.011181911	0.022264019	0.0016807327	-0.0007254736
0.1375	0.077347819	0.085924744	0.011181833	0.022263458	0.0016799671	-0.00072545114
0.14	0.077346137	0.085921539	0.011181755	0.022262896	0.0016791991	-0.00072542869
0.1425	0.077344463	0.085918331	0.011181678	0.022262333	0.0016784329	-0.00072540684
0.145	0.077342791	0.085915119	0.011181601	0.022261767	0.001677664	-0.00072538491
0.1475	0.077341119	0.0859119	0.011181526	0.022261199	0.0016768852	-0.00072536311
0.15	0.077339467	0.085908675	0.011181452	0.022260628	0.0016761117	-0.00072534154
0.1525	0.077337848	0.085905444	0.011181379	0.022260054	0.0016753463	-0.00072532006
0.155	0.07733623	0.085902206	0.011181306	0.022259481	0.0016745748	-0.00072529731
0.1575	0.077334613	0.085898965	0.011181233	0.022258907	0.0016738017	-0.000725274
0.16	0.077332999	0.085895714	0.011181161	0.022258331	0.0016730233	-0.00072525072
0.1625	0.077331391	0.085892462	0.011181091	0.022257754	0.0016722412	-0.00072522787
0.165	0.077329788	0.085889205	0.011181021	0.022257177	0.0016714563	-0.00072520542
0.1675	0.077328183	0.085885938	0.011180952	0.022256598	0.0016706644	-0.00072518259
0.17	0.0773266	0.085882672	0.011180884	0.022256018	0.0016698734	-0.00072515879
0.1725	0.077325021	0.085879393	0.011180818	0.022255435	0.0016690858	-0.00072513575
0.175	0.077323458	0.085876117	0.011180754	0.022254848	0.0016682935	-0.00072511328
0.1775	0.077321889	0.085872835	0.011180692	0.022254259	0.0016675003	-0.00072509044
0.18	0.077320325	0.085869547	0.01118063	0.022253669	0.0016666998	-0.00072506684
0.1825	0.077318775	0.085866252	0.011180569	0.02225308	0.0016659096	-0.00072504334
0.185	0.077317236	0.085862954	0.011180507	0.022252492	0.001665112	-0.00072502035
0.1875	0.077315695	0.085859651	0.011180445	0.022251903	0.0016643119	-0.00072499796
0.19	0.077314164	0.085856344	0.011180382	0.022251314	0.001663508	-0.00072497483
0.1925	0.077312659	0.085853029	0.011180319	0.022250727	0.0016627111	-0.00072495149
0.195	0.077311138	0.085849717	0.011180256	0.022250138	0.0016619102	-0.00072492781
0.1975	0.077309632	0.085846395	0.011180195	0.022249548	0.0016611087	-0.00072490375
0.2	0.077308136	0.08584307	0.011180136	0.022248957	0.0016603075	-0.00072487965
