     kx              E+_uu           E+_vv           E+_ww           E+_pp
-------------------------------------------------------------------------------
  0.0000000e+00   2.6809166e-01   4.3097187e-03   2.1239753e-02   2.5073215e-02
  2.5000000e-01   4.9810269e-01   8.4959425e-03   5.2651134e-02   7.3707458e-02
  5.0000000e-01   3.5896614e-01   8.5141397e-03   5.2891036e-02   7.8163564e-02
  7.5000000e-01   2.7619606e-01   8.3925991e-03   4.5053531e-02   6.6666774e-02
  1.0000000e+00   2.3860525e-01   8.5341402e-03   4.2934786e-02   7.0647803e-02
  1.2500000e+00   2.0354493e-01   8.3011648e-03   3.9694162e-02   7.1336145e-02
  1.5000000e+00   1.7069262e-01   8.1187365e-03   3.6881602e-02   8.9989314e-02
  1.7500000e+00   1.5011202e-01   8.1575123e-03   3.3119810e-02   7.9992933e-02
  2.0000000e+00   1.4184974e-01   7.9698378e-03   3.1271118e-02   8.8561296e-02
  2.2500000e+00   1.3693121e-01   7.9022671e-03   3.0937337e-02   8.8733758e-02
  2.5000000e+00   1.1736354e-01   7.5720482e-03   2.7007725e-02   8.1501943e-02
  2.7500000e+00   1.1156042e-01   7.5502617e-03   2.6868172e-02   9.0159914e-02
  3.0000000e+00   1.0653934e-01   7.5669253e-03   2.6470184e-02   9.2340187e-02
  3.2500000e+00   9.8022778e-02   7.2755644e-03   2.3714761e-02   9.0734050e-02
  3.5000000e+00   9.0663261e-02   7.0514764e-03   2.3602896e-02   9.1227998e-02
  3.7500000e+00   8.9475423e-02   7.1644873e-03   2.3395249e-02   8.2163822e-02
  4.0000000e+00   8.6417887e-02   7.0929829e-03   2.2452238e-02   8.0349310e-02
  4.2500000e+00   7.9889034e-02   6.8153386e-03   2.1366367e-02   8.1025682e-02
  4.5000000e+00   7.8334977e-02   6.7849764e-03   2.1187564e-02   8.2367054e-02
  4.7500000e+00   7.6603471e-02   6.7700015e-03   2.1128179e-02   8.0419993e-02
  5.0000000e+00   7.2170601e-02   6.5918458e-03   2.0294111e-02   7.7944875e-02
  5.2500000e+00   6.9071914e-02   6.4843602e-03   1.9495874e-02   7.4806287e-02
  5.5000000e+00   6.7073919e-02   6.3432271e-03   1.9138059e-02   7.9499536e-02
  5.7500000e+00   6.4280002e-02   6.3292138e-03   1.8753875e-02   7.5948360e-02
  6.0000000e+00   6.2108831e-02   6.2556319e-03   1.8588332e-02   7.5549951e-02
  6.2500000e+00   6.0005130e-02   6.0885400e-03   1.8050901e-02   7.2708553e-02
  6.5000000e+00   5.7732568e-02   6.0039163e-03   1.7269430e-02   7.1098269e-02
  6.7500000e+00   5.6831722e-02   5.9959773e-03   1.7086077e-02   7.3052412e-02
  7.0000000e+00   5.2884631e-02   5.7526166e-03   1.6475166e-02   6.9821031e-02
  7.2500000e+00   5.2367672e-02   5.7381823e-03   1.7007897e-02   7.1080415e-02
  7.5000000e+00   5.1441757e-02   5.7765471e-03   1.6410694e-02   6.8101565e-02
  7.7500000e+00   4.9972029e-02   5.6491843e-03   1.5796339e-02   6.7965259e-02
  8.0000000e+00   4.8271500e-02   5.4957751e-03   1.5510005e-02   6.7873406e-02
  8.2500000e+00   4.6902279e-02   5.4691051e-03   1.5591834e-02   6.5352861e-02
  8.5000000e+00   4.4556364e-02   5.3803291e-03   1.5415966e-02   6.6490944e-02
  8.7500000e+00   4.3667192e-02   5.3468783e-03   1.4904190e-02   6.2929253e-02
  9.0000000e+00   4.2053770e-02   5.2510124e-03   1.4439301e-02   6.3066594e-02
  9.2500000e+00   4.0817423e-02   5.1766633e-03   1.4191122e-02   6.1812589e-02
  9.5000000e+00   3.9517064e-02   5.0888571e-03   1.4229183e-02   6.1024595e-02
  9.7500000e+00   3.8954434e-02   5.0315037e-03   1.4045584e-02   6.0157906e-02
  1.0000000e+01   3.8034028e-02   4.9973346e-03   1.3810111e-02   5.9446294e-02
  1.0250000e+01   3.6944617e-02   4.8727050e-03   1.3461339e-02   5.8943108e-02
  1.0500000e+01   3.6328874e-02   4.8255935e-03   1.3457022e-02   5.8513061e-02
  1.0750000e+01   3.5410864e-02   4.8178516e-03   1.3431884e-02   5.8439617e-02
  1.1000000e+01   3.3946641e-02   4.6312622e-03   1.2834172e-02   5.7220619e-02
  1.1250000e+01   3.3231763e-02   4.6511685e-03   1.2647499e-02   5.6819869e-02
  1.1500000e+01   3.2078573e-02   4.5658953e-03   1.2519608e-02   5.5336264e-02
  1.1750000e+01   3.1898812e-02   4.4605021e-03   1.2246389e-02   5.4706421e-02
  1.2000000e+01   3.0862700e-02   4.4937593e-03   1.2231067e-02   5.4670949e-02
  1.2250000e+01   3.0298505e-02   4.4093304e-03   1.1777749e-02   5.2961661e-02
  1.2500000e+01   2.9494715e-02   4.3459081e-03   1.1704110e-02   5.2802272e-02
  1.2750000e+01   2.8554698e-02   4.2708396e-03   1.1502468e-02   5.1992625e-02
  1.3000000e+01   2.8049707e-02   4.2586986e-03   1.1629645e-02   5.2409526e-02
  1.3250000e+01   2.7543111e-02   4.1852482e-03   1.1372276e-02   5.0883947e-02
  1.3500000e+01   2.6785738e-02   4.1536187e-03   1.1183700e-02   5.0258425e-02
