     kz              E+_uu           E+_vv           E+_ww           E+_pp
-------------------------------------------------------------------------------
  0.0000000e+00   2.7285018e-02   8.8256824e-04   1.5652505e-02   1.8561928e-01
  6.6666667e-01   5.7434215e-02   1.7746710e-03   3.6054391e-02   2.8476113e-01
  1.3333333e+00   7.2729014e-02   1.7964340e-03   3.9116997e-02   2.6332305e-01
  2.0000000e+00   1.0458976e-01   1.8021050e-03   4.2830839e-02   2.3562786e-01
  2.6666667e+00   1.2186515e-01   1.8322920e-03   4.8481286e-02   2.2438401e-01
  3.3333333e+00   9.8758916e-02   1.8698266e-03   4.4263813e-02   2.1137738e-01
  4.0000000e+00   1.6622608e-01   1.9238292e-03   5.0093255e-02   1.8941352e-01
  4.6666667e+00   1.4480870e-01   1.9801152e-03   5.0905660e-02   1.7665040e-01
  5.3333333e+00   1.3303601e-01   2.0256376e-03   4.6153987e-02   1.7394002e-01
  6.0000000e+00   8.9987554e-02   2.0587799e-03   4.1754396e-02   1.5929472e-01
  6.6666667e+00   1.2409603e-01   2.1726382e-03   4.5693443e-02   1.5301774e-01
  7.3333333e+00   1.0535396e-01   2.2182265e-03   4.3097084e-02   1.4563225e-01
  8.0000000e+00   8.7321132e-02   2.2432281e-03   3.8636587e-02   1.3645482e-01
  8.6666667e+00   8.6145876e-02   2.3205216e-03   3.8891689e-02   1.3140074e-01
  9.3333333e+00   1.0932306e-01   2.4657307e-03   4.0705277e-02   1.2855099e-01
  1.0000000e+01   8.2955805e-02   2.4711697e-03   3.6732578e-02   1.2192786e-01
  1.0666667e+01   8.9140231e-02   2.5790183e-03   3.6151293e-02   1.1827927e-01
  1.1333333e+01   8.4004033e-02   2.6623410e-03   3.4710325e-02   1.1542830e-01
  1.2000000e+01   7.9392725e-02   2.7296589e-03   3.4374128e-02   1.1254640e-01
  1.2666667e+01   7.7358557e-02   2.8283810e-03   3.3391227e-02   1.1008142e-01
  1.3333333e+01   7.5059503e-02   2.8325772e-03   3.1088516e-02   1.0581278e-01
  1.4000000e+01   7.6005316e-02   2.9439257e-03   3.1039962e-02   1.0326783e-01
  1.4666667e+01   7.3172774e-02   3.0598380e-03   3.0093541e-02   1.0012585e-01
  1.5333333e+01   7.0407411e-02   3.0868693e-03   2.9146601e-02   1.0013981e-01
  1.6000000e+01   6.7569614e-02   3.1939020e-03   2.8085611e-02   9.6348818e-02
  1.6666667e+01   7.1799140e-02   3.3705822e-03   2.7746462e-02   9.3702480e-02
  1.7333333e+01   7.0226679e-02   3.3434767e-03   2.6451147e-02   9.0604132e-02
  1.8000000e+01   6.5870277e-02   3.4381594e-03   2.5884517e-02   9.0313513e-02
  1.8666667e+01   6.5907098e-02   3.5014136e-03   2.5383791e-02   8.6749733e-02
  1.9333333e+01   6.5096629e-02   3.6077988e-03   2.4538459e-02   8.5409046e-02
  2.0000000e+01   6.4306469e-02   3.6615534e-03   2.3769894e-02   8.4035533e-02
  2.0666667e+01   6.4126365e-02   3.8002672e-03   2.3325246e-02   8.2497524e-02
  2.1333333e+01   6.3155097e-02   3.8387650e-03   2.2650360e-02   8.1707318e-02
  2.2000000e+01   5.9424566e-02   3.8873126e-03   2.1726614e-02   7.9117741e-02
  2.2666667e+01   6.0167281e-02   3.9822885e-03   2.1402752e-02   7.7951162e-02
  2.3333333e+01   5.8241023e-02   3.9764095e-03   2.0594920e-02   7.5576109e-02
  2.4000000e+01   5.8323314e-02   4.1183417e-03   2.0084381e-02   7.4704428e-02
  2.4666667e+01   5.8320580e-02   4.1883963e-03   1.9754795e-02   7.2392188e-02
  2.5333333e+01   5.7615168e-02   4.2827186e-03   1.9091233e-02   7.1502684e-02
  2.6000000e+01   5.5501177e-02   4.2645115e-03   1.8622358e-02   6.9355231e-02
  2.6666667e+01   5.6113982e-02   4.3755520e-03   1.8110518e-02   6.9600997e-02
  2.7333333e+01   5.3164414e-02   4.4331229e-03   1.7470256e-02   6.8021623e-02
  2.8000000e+01   5.4685816e-02   4.5766333e-03   1.7302126e-02   6.7219988e-02
  2.8666667e+01   5.1952463e-02   4.5823873e-03   1.6829414e-02   6.5199874e-02
  2.9333333e+01   5.1595671e-02   4.6313752e-03   1.6308906e-02   6.4162783e-02
  3.0000000e+01   5.1250602e-02   4.7615530e-03   1.6204952e-02   6.2725948e-02
  3.0666667e+01   5.1846204e-02   4.7539360e-03   1.5725932e-02   6.2151730e-02
  3.1333333e+01   4.9886820e-02   4.7910154e-03   1.5115649e-02   6.0993494e-02
  3.2000000e+01   4.8630382e-02   4.8140373e-03   1.4894531e-02   5.9337037e-02
  3.2666667e+01   4.8624979e-02   4.9166786e-03   1.4362616e-02   5.8498244e-02
  3.3333333e+01   4.8298905e-02   4.9775200e-03   1.4216921e-02   5.7472069e-02
  3.4000000e+01   4.6390369e-02   4.9891162e-03   1.3813702e-02   5.6577036e-02
  3.4666667e+01   4.6081354e-02   5.0171945e-03   1.3383599e-02   5.5189378e-02
  3.5333333e+01   4.5624780e-02   5.1217266e-03   1.3232789e-02   5.4805906e-02
  3.6000000e+01   4.5229131e-02   5.1873973e-03   1.2985233e-02   5.3183944e-02
  3.6666667e+01   4.3709928e-02   5.0878002e-03   1.2389279e-02   5.2201104e-02
  3.7333333e+01   4.2653648e-02   5.1290219e-03   1.2230093e-02   5.1693492e-02
  3.8000000e+01   4.1900873e-02   5.1695226e-03   1.1920140e-02   5.0302568e-02
  3.8666667e+01   4.2113066e-02   5.2966928e-03   1.1596584e-02   5.0116612e-02
  3.9333333e+01   4.1490278e-02   5.2384809e-03   1.1338847e-02   4.8573686e-02
  4.0000000e+01   4.0252468e-02   5.3012135e-03   1.1122554e-02   4.8567908e-02
  4.0666667e+01   4.0636004e-02   5.3283991e-03   1.0788030e-02   4.6907188e-02
  4.1333333e+01   3.8935606e-02   5.3074825e-03   1.0642930e-02   4.6049164e-02
  4.2000000e+01   3.8463251e-02   5.3695285e-03   1.0366731e-02   4.5109279e-02
  4.2666667e+01   3.7812236e-02   5.3283725e-03   1.0110647e-02   4.4458589e-02
  4.3333333e+01   3.5798461e-02   5.1978524e-03   9.7136262e-03   4.3410318e-02
  4.4000000e+01   3.6006797e-02   5.3381857e-03   9.5472070e-03   4.2369502e-02
  4.4666667e+01   3.4953884e-02   5.2745958e-03   9.4052748e-03   4.2004883e-02
  4.5333333e+01   3.5275407e-02   5.3267900e-03   9.1978025e-03   4.1481056e-02
  4.6000000e+01   3.4755914e-02   5.3822358e-03   9.0332582e-03   4.0540707e-02
  4.6666667e+01   3.4014184e-02   5.3193549e-03   8.8062450e-03   3.9812461e-02
  4.7333333e+01   3.2564124e-02   5.2847722e-03   8.5238972e-03   3.8801037e-02
  4.8000000e+01   3.2387984e-02   5.3412922e-03   8.3531051e-03   3.8500990e-02
  4.8666667e+01   3.2361192e-02   5.3356359e-03   8.1921897e-03   3.7813601e-02
  4.9333333e+01   3.1595877e-02   5.3504341e-03   8.0334551e-03   3.6696223e-02
  5.0000000e+01   3.0986754e-02   5.3350924e-03   7.8011548e-03   3.6569889e-02
  5.0666667e+01   3.0344563e-02   5.2976474e-03   7.5492044e-03   3.5898820e-02
  5.1333333e+01   2.9239164e-02   5.2245510e-03   7.4023261e-03   3.5082676e-02
  5.2000000e+01   2.8757205e-02   5.2647231e-03   7.2564578e-03   3.4454606e-02
  5.2666667e+01   2.8473501e-02   5.2608458e-03   7.0870560e-03   3.3663150e-02
  5.3333333e+01   2.8321217e-02   5.2885273e-03   6.9447783e-03   3.3177461e-02
  5.4000000e+01   2.7533917e-02   5.1737016e-03   6.8008072e-03   3.2372153e-02
  5.4666667e+01   2.7073215e-02   5.1897334e-03   6.6546048e-03   3.1970485e-02
  5.5333333e+01   2.6288115e-02   5.1245461e-03   6.4826039e-03   3.1504036e-02
  5.6000000e+01   2.6219709e-02   5.1561294e-03   6.3521499e-03   3.0532955e-02
  5.6666667e+01   2.5192392e-02   5.0282413e-03   6.1605361e-03   3.0254365e-02
  5.7333333e+01   2.5022369e-02   5.0305376e-03   6.0454600e-03   2.9739221e-02
  5.8000000e+01   2.4309590e-02   5.0366294e-03   5.9212476e-03   2.9342503e-02
  5.8666667e+01   2.3874937e-02   4.9876956e-03   5.8166885e-03   2.8698519e-02
  5.9333333e+01   2.3219783e-02   4.9206437e-03   5.6575203e-03   2.8088041e-02
  6.0000000e+01   2.3041477e-02   4.9279685e-03   5.5095740e-03   2.7723615e-02
  6.0666667e+01   2.2312825e-02   4.8601378e-03   5.4337833e-03   2.7044098e-02
  6.1333333e+01   2.2149507e-02   4.8403974e-03   5.3040569e-03   2.6605515e-02
  6.2000000e+01   2.1672169e-02   4.8510489e-03   5.2219495e-03   2.6173022e-02
  6.2666667e+01   2.1232943e-02   4.7819761e-03   5.0472151e-03   2.5402194e-02
  6.3333333e+01   2.0660513e-02   4.7099350e-03   4.9462258e-03   2.5224133e-02
  6.4000000e+01   2.0648895e-02   4.7480457e-03   4.8105777e-03   2.4737672e-02
  6.4666667e+01   1.9978155e-02   4.6654405e-03   4.7259290e-03   2.4023334e-02
  6.5333333e+01   1.9660058e-02   4.6399793e-03   4.6128708e-03   2.3828533e-02
  6.6000000e+01   1.9225853e-02   4.5586957e-03   4.5249379e-03   2.3439711e-02
  6.6666667e+01   1.8715332e-02   4.5218517e-03   4.3764030e-03   2.2916709e-02
  6.7333333e+01   1.8446379e-02   4.4489826e-03   4.3208655e-03   2.2339638e-02
  6.8000000e+01   1.8061645e-02   4.4364175e-03   4.2543947e-03   2.2116940e-02
  6.8666667e+01   1.7792800e-02   4.3821579e-03   4.1365743e-03   2.1804448e-02
  6.9333333e+01   1.7568530e-02   4.3495359e-03   4.0150978e-03   2.1368545e-02
  7.0000000e+01   1.7226136e-02   4.3319096e-03   3.9485819e-03   2.1068951e-02
  7.0666667e+01   1.6722538e-02   4.2811560e-03   3.8668340e-03   2.0652377e-02
  7.1333333e+01   1.6443739e-02   4.2361384e-03   3.7743346e-03   2.0154937e-02
  7.2000000e+01   1.5753969e-02   4.1677202e-03   3.6737967e-03   1.9909169e-02
  7.2666667e+01   1.5767637e-02   4.1546499e-03   3.6167485e-03   1.9466275e-02
  7.3333333e+01   1.5451536e-02   4.1103474e-03   3.5353210e-03   1.9048200e-02
  7.4000000e+01   1.5252358e-02   4.0694597e-03   3.4498211e-03   1.8809332e-02
  7.4666667e+01   1.4814239e-02   4.0342775e-03   3.3966653e-03   1.8387460e-02
  7.5333333e+01   1.4715083e-02   3.9688050e-03   3.3166371e-03   1.8200202e-02
  7.6000000e+01   1.4377292e-02   3.8944633e-03   3.2377391e-03   1.7766690e-02
  7.6666667e+01   1.3988107e-02   3.8670655e-03   3.1675053e-03   1.7436401e-02
  7.7333333e+01   1.3578579e-02   3.7655066e-03   3.1035236e-03   1.7207074e-02
  7.8000000e+01   1.3439908e-02   3.7591840e-03   3.0476352e-03   1.6789555e-02
  7.8666667e+01   1.3317192e-02   3.7319651e-03   2.9777432e-03   1.6590524e-02
  7.9333333e+01   1.3035360e-02   3.7071448e-03   2.8927741e-03   1.6293553e-02
  8.0000000e+01   1.2694328e-02   3.6473108e-03   2.8604584e-03   1.5973772e-02
  8.0666667e+01   1.2617148e-02   3.5899824e-03   2.7790270e-03   1.5763707e-02
  8.1333333e+01   1.2313645e-02   3.5779090e-03   2.7361882e-03   1.5540937e-02
  8.2000000e+01   1.2116131e-02   3.4965565e-03   2.6627672e-03   1.5199912e-02
  8.2666667e+01   1.1825259e-02   3.4868543e-03   2.6164395e-03   1.4901650e-02
  8.3333333e+01   1.1480131e-02   3.4133512e-03   2.5493355e-03   1.4660457e-02
  8.4000000e+01   1.1425939e-02   3.3821088e-03   2.4974702e-03   1.4429911e-02
  8.4666667e+01   1.1151420e-02   3.3398277e-03   2.4355372e-03   1.4133587e-02
  8.5333333e+01   1.0864550e-02   3.3114448e-03   2.4133425e-03   1.3850830e-02
  8.6000000e+01   1.0685794e-02   3.2418999e-03   2.3463510e-03   1.3571826e-02
  8.6666667e+01   1.0500908e-02   3.2226741e-03   2.3064605e-03   1.3419394e-02
  8.7333333e+01   1.0399904e-02   3.1714690e-03   2.2500028e-03   1.3193504e-02
  8.8000000e+01   1.0200258e-02   3.1516166e-03   2.2147077e-03   1.2937149e-02
  8.8666667e+01   1.0012019e-02   3.0932908e-03   2.1675564e-03   1.2612448e-02
  8.9333333e+01   9.7808124e-03   3.0469451e-03   2.1162556e-03   1.2469832e-02
  9.0000000e+01   9.6080409e-03   3.0117431e-03   2.0648180e-03   1.2267058e-02
  9.0666667e+01   9.4481371e-03   2.9685699e-03   2.0135596e-03   1.2050083e-02
  9.1333333e+01   9.2504191e-03   2.9106381e-03   1.9729716e-03   1.1865185e-02
  9.2000000e+01   9.1443857e-03   2.9152352e-03   1.9470822e-03   1.1639429e-02
  9.2666667e+01   8.9021179e-03   2.8649963e-03   1.9059828e-03   1.1432828e-02
  9.3333333e+01   8.7197047e-03   2.8097706e-03   1.8575563e-03   1.1158054e-02
  9.4000000e+01   8.6310506e-03   2.7908296e-03   1.8210985e-03   1.1021179e-02
  9.4666667e+01   8.4166719e-03   2.7501546e-03   1.7926180e-03   1.0857420e-02
  9.5333333e+01   8.2592797e-03   2.7016267e-03   1.7474473e-03   1.0670883e-02
  9.6000000e+01   8.1600141e-03   2.6585844e-03   1.7142283e-03   1.0443781e-02
  9.6666667e+01   8.0553885e-03   2.6302599e-03   1.6800511e-03   1.0231960e-02
  9.7333333e+01   7.8466092e-03   2.6018190e-03   1.6444583e-03   1.0094832e-02
  9.8000000e+01   7.7023641e-03   2.5629799e-03   1.6069045e-03   9.9031059e-03
  9.8666667e+01   7.5068354e-03   2.4897772e-03   1.5698393e-03   9.7317184e-03
  9.9333333e+01   7.4531514e-03   2.4857110e-03   1.5448678e-03   9.5673110e-03
  1.0000000e+02   7.3312899e-03   2.4591478e-03   1.5124910e-03   9.4162036e-03
  1.0066667e+02   7.1434910e-03   2.4150653e-03   1.4706668e-03   9.2609996e-03
  1.0133333e+02   7.0126613e-03   2.3995761e-03   1.4478523e-03   9.1219294e-03
  1.0200000e+02   6.8952815e-03   2.3510491e-03   1.4234479e-03   8.9311151e-03
  1.0266667e+02   6.7969870e-03   2.3238737e-03   1.3952791e-03   8.7628771e-03
  1.0333333e+02   6.6869383e-03   2.2894061e-03   1.3648114e-03   8.6250024e-03
  1.0400000e+02   6.5405160e-03   2.2509576e-03   1.3413764e-03   8.4935285e-03
  1.0466667e+02   6.3830877e-03   2.2355483e-03   1.3134392e-03   8.3447790e-03
