   # density  PDF      
  ---------------------
  0.10032349052657E+01  0.23869814482888E-03
  0.10042493407552E+01  0.61694289740389E-03
  0.10052637762447E+01  0.12274593062931E-02
  0.10062782117342E+01  0.20151631842285E-02
  0.10072926472238E+01  0.28542789702808E-02
  0.10083070827133E+01  0.40863286255129E-02
  0.10093215182028E+01  0.51219113461552E-02
  0.10103359536924E+01  0.64714739342262E-02
  0.10113503891819E+01  0.75492878651074E-02
  0.10123648246714E+01  0.88823251969979E-02
  0.10133792601610E+01  0.10572491676344E-01
  0.10143936956505E+01  0.12772186887921E-01
  0.10154081311400E+01  0.16129568101918E-01
  0.10164225666296E+01  0.20959533255552E-01
  0.10174370021191E+01  0.26976562644815E-01
  0.10184514376086E+01  0.34983049264249E-01
  0.10194658730982E+01  0.44064595605200E-01
  0.10204803085877E+01  0.58241429268460E-01
  0.10214947440772E+01  0.76987496265618E-01
  0.10225091795668E+01  0.98578661535178E-01
  0.10235236150563E+01  0.12670831983347E+00
  0.10245380505458E+01  0.16200351282558E+00
  0.10255524860354E+01  0.20869103381453E+00
  0.10265669215249E+01  0.28008840314221E+00
  0.10275813570144E+01  0.38107148945165E+00
  0.10285957925040E+01  0.52533238555814E+00
  0.10296102279935E+01  0.72053330191068E+00
  0.10306246634830E+01  0.10025303721417E+01
  0.10316390989726E+01  0.13670141766674E+01
  0.10326535344621E+01  0.18262648169692E+01
  0.10336679699516E+01  0.24445490143331E+01
  0.10346824054412E+01  0.32496466424681E+01
  0.10356968409307E+01  0.43890878439952E+01
  0.10367112764202E+01  0.59537615279068E+01
  0.10377257119098E+01  0.78047104872607E+01
  0.10387401473993E+01  0.98389025039809E+01
  0.10397545828888E+01  0.12292875504686E+02
  0.10407690183784E+01  0.14777372489696E+02
  0.10417834538679E+01  0.17145803419852E+02
  0.10427978893574E+01  0.19742238817949E+02
  0.10438123248470E+01  0.23039357931075E+02
  0.10448267603365E+01  0.26633973886659E+02
  0.10458411958260E+01  0.30550118997537E+02
  0.10468556313156E+01  0.34597802393402E+02
  0.10478700668051E+01  0.38657156292410E+02
  0.10488845022946E+01  0.42930386483394E+02
  0.10498989377842E+01  0.46833999023598E+02
  0.10509133732737E+01  0.49246249424727E+02
  0.10519278087632E+01  0.50777008692607E+02
  0.10529422442527E+01  0.51676274575017E+02
  0.10539566797423E+01  0.51700309642061E+02
  0.10549711152318E+01  0.50425106116453E+02
  0.10559855507213E+01  0.47974306883005E+02
  0.10569999862109E+01  0.45069227439086E+02
  0.10580144217004E+01  0.41525221916694E+02
  0.10590288571899E+01  0.37629855479323E+02
  0.10600432926795E+01  0.33704929948995E+02
  0.10610577281690E+01  0.29527487487391E+02
  0.10620721636585E+01  0.25425783029072E+02
  0.10630865991481E+01  0.21825077516585E+02
  0.10641010346376E+01  0.18591475979799E+02
  0.10651154701271E+01  0.15613526582612E+02
  0.10661299056167E+01  0.12965661833072E+02
  0.10671443411062E+01  0.10626016063043E+02
  0.10681587765957E+01  0.85840911444998E+01
  0.10691732120853E+01  0.68623146042898E+01
  0.10701876475748E+01  0.55136847751233E+01
  0.10712020830643E+01  0.44472411385640E+01
  0.10722165185539E+01  0.36190806792896E+01
  0.10732309540434E+01  0.29558689007200E+01
  0.10742453895329E+01  0.24317621383285E+01
  0.10752598250225E+01  0.19607620408824E+01
  0.10762742605120E+01  0.15659130781252E+01
  0.10772886960015E+01  0.12469875687495E+01
  0.10783031314911E+01  0.99781883799073E+00
  0.10793175669806E+01  0.80841277813880E+00
  0.10803320024701E+01  0.64706293100214E+00
  0.10813464379597E+01  0.49094057323723E+00
  0.10823608734492E+01  0.34809993109248E+00
  0.10833753089387E+01  0.25228741382795E+00
  0.10843897444283E+01  0.18931058059400E+00
  0.10854041799178E+01  0.14303251873041E+00
  0.10864186154073E+01  0.10461864266914E+00
  0.10874330508969E+01  0.80273268036166E-01
  0.10884474863864E+01  0.64723920040140E-01
  0.10894619218759E+01  0.53080958991217E-01
  0.10904763573655E+01  0.42177962191264E-01
  0.10914907928550E+01  0.31913941963622E-01
  0.10925052283445E+01  0.25062387137245E-01
  0.10935196638341E+01  0.19942311930666E-01
  0.10945340993236E+01  0.15591579206265E-01
  0.10955485348131E+01  0.12069863500251E-01
  0.10965629703027E+01  0.93349336023850E-02
  0.10975774057922E+01  0.70149712486058E-02
  0.10985918412817E+01  0.49832828081969E-02
  0.10996062767713E+01  0.37879559444768E-02
  0.11006207122608E+01  0.23878995180766E-02
  0.11016351477503E+01  0.16552798274095E-02
  0.11026495832398E+01  0.11861461658420E-02
  0.11036640187294E+01  0.62153324634290E-03
