 # k         Erhorho   E11       E22       E33       Erhou1    
---------------------------------------------------------------
         1  0.13148183068730E-05  0.62804332570110E-03  0.12335189653750E-03  0.66380474226590E-04  0.23402882883800E-04
         2  0.15053096720720E-05  0.13775750180280E-02  0.21708176977740E-03  0.19174781656460E-03  0.37356529955100E-04
         3  0.64733281953020E-06  0.56702542987030E-03  0.19572578868490E-03  0.24685105336190E-03  0.12100787866530E-04
         4  0.43530495324430E-06  0.28714934170750E-03  0.17725461916340E-03  0.14592821884360E-03  0.61489723471470E-05
         5  0.27696857903340E-06  0.24526913429830E-03  0.14709387444330E-03  0.13836801081950E-03  0.33860897711910E-05
         6  0.23048923417170E-06  0.16046451765030E-03  0.10400090016150E-03  0.10402065283600E-03  0.31456575478180E-05
         7  0.19083672130630E-06  0.14565217247310E-03  0.10053570180660E-03  0.10424760230460E-03  0.21884440337420E-05
         8  0.15563633258170E-06  0.11380541171740E-03  0.93814527730750E-04  0.80460025746490E-04  0.15796222256070E-05
         9  0.14138218723810E-06  0.89814382667060E-04  0.76040976571270E-04  0.70723804767520E-04  0.12742099592980E-05
        10  0.12115062750280E-06  0.74765973114380E-04  0.65520181467300E-04  0.62008253180570E-04  0.98764229316710E-06
        11  0.11610046029260E-06  0.64905910258100E-04  0.57395706770370E-04  0.60213732040550E-04  0.79250085374180E-06
        12  0.10143581136210E-06  0.57702827555050E-04  0.53860887875750E-04  0.51346297622600E-04  0.67530155894270E-06
        13  0.87016595480130E-07  0.51945255508860E-04  0.49083703841580E-04  0.46428520646260E-04  0.56363258221290E-06
        14  0.82531201374180E-07  0.45732735955070E-04  0.42239486011510E-04  0.42738588565730E-04  0.42572689419530E-06
        15  0.82398896136750E-07  0.46210757882210E-04  0.39744944851380E-04  0.39711601145940E-04  0.52850209146400E-06
        16  0.70313788355700E-07  0.41548673375080E-04  0.36898165558110E-04  0.39048145585170E-04  0.41094007456530E-06
        17  0.68333342875490E-07  0.38646948672170E-04  0.34079478140350E-04  0.34773629934090E-04  0.37211303625110E-06
        18  0.66621070232720E-07  0.34241223424640E-04  0.31910859515070E-04  0.32787429271620E-04  0.33582281643810E-06
        19  0.63365723183190E-07  0.32619777517530E-04  0.31301651638020E-04  0.31465802672280E-04  0.29114942062250E-06
        20  0.56564264546020E-07  0.29951085651670E-04  0.29479887458130E-04  0.29518244980250E-04  0.23219086392620E-06
        21  0.54265178037420E-07  0.28754932143770E-04  0.28757869174860E-04  0.27029137397470E-04  0.22917308029330E-06
        22  0.53374018727450E-07  0.26485030048900E-04  0.25588629811110E-04  0.25205783165970E-04  0.21935918893300E-06
        23  0.52055093015120E-07  0.24289654353350E-04  0.23549244538110E-04  0.23858440409530E-04  0.17140489427130E-06
        24  0.47538828450660E-07  0.22436043388290E-04  0.22864036730060E-04  0.22058493238530E-04  0.16061510827750E-06
        25  0.45774721840140E-07  0.21710137048980E-04  0.21482228542170E-04  0.21196501019850E-04  0.17229548466810E-06
        26  0.44486018610850E-07  0.20955209321780E-04  0.20425976600270E-04  0.19546469465700E-04  0.14490395781600E-06
        27  0.41123864901620E-07  0.19381371526940E-04  0.18056045198060E-04  0.18428275173150E-04  0.13291588160130E-06
        28  0.39965680005660E-07  0.17927616001920E-04  0.17993412906140E-04  0.18468919172860E-04  0.11369953579320E-06
        29  0.38382540975100E-07  0.17028114485860E-04  0.16886426218030E-04  0.16999220390070E-04  0.11182104552900E-06
        30  0.36827969204960E-07  0.15874673787180E-04  0.15719989444800E-04  0.16165599681240E-04  0.12161204141280E-06
        31  0.35410817694620E-07  0.15105290166330E-04  0.14902965799870E-04  0.15019941912750E-04  0.10734676188780E-06
        32  0.33383742261020E-07  0.13860130968530E-04  0.13845473617550E-04  0.14361299232830E-04  0.85869790559270E-07
        33  0.32074158322140E-07  0.13589937386620E-04  0.13512531661110E-04  0.13068230294190E-04  0.87908760670760E-07
        34  0.31999383543720E-07  0.12604755653990E-04  0.12202669014210E-04  0.12574040658030E-04  0.80138979823350E-07
        35  0.30145211000620E-07  0.12185365645140E-04  0.11889405368450E-04  0.11965893849510E-04  0.74532354424200E-07
        36  0.28572082685560E-07  0.11384051704270E-04  0.11105229672930E-04  0.11378147168880E-04  0.72366814018960E-07
        37  0.27915572281600E-07  0.10899474192660E-04  0.10581790927120E-04  0.10687297712100E-04  0.68833150490330E-07
        38  0.26588679977970E-07  0.10000963656660E-04  0.10114545198500E-04  0.99007079916730E-05  0.54908692771390E-07
        39  0.25317675309680E-07  0.96364351638850E-05  0.94713360184110E-05  0.94125640849390E-05  0.59815030338640E-07
        40  0.24467017351870E-07  0.92598000662650E-05  0.89824856450510E-05  0.89798045943210E-05  0.53755532271140E-07
        41  0.24029786422270E-07  0.85106207437120E-05  0.86487124357870E-05  0.84388047465570E-05  0.49378457224220E-07
        42  0.22724638169150E-07  0.81413975462690E-05  0.81897895768610E-05  0.80071244667210E-05  0.44944842000310E-07
        43  0.21753476752060E-07  0.77018929048090E-05  0.75700841397800E-05  0.76155073557430E-05  0.44045097170560E-07
        44  0.20886910161920E-07  0.72658600185890E-05  0.72726498041200E-05  0.71660429850480E-05  0.36515105113530E-07
        45  0.20338416920170E-07  0.68828007424720E-05  0.67102219328670E-05  0.67401821998230E-05  0.37454245751820E-07
        46  0.19279704510160E-07  0.66261457347520E-05  0.65603018627140E-05  0.64092963643430E-05  0.35348301341290E-07
        47  0.18874048033310E-07  0.61463363148060E-05  0.62079026739860E-05  0.59587909284990E-05  0.30108093451760E-07
        48  0.18329084291450E-07  0.58481062227630E-05  0.58323660495180E-05  0.57137692311760E-05  0.31121132445480E-07
        49  0.17339173304890E-07  0.55530946713740E-05  0.55271467500940E-05  0.55470000291820E-05  0.27606582665610E-07
        50  0.16863236020820E-07  0.51539265617490E-05  0.52311931101670E-05  0.51828629956980E-05  0.25632932235190E-07
        51  0.16304752527210E-07  0.49417369136800E-05  0.49103557145550E-05  0.49459359520920E-05  0.27869650647470E-07
        52  0.15327433365000E-07  0.46950954674970E-05  0.46773388036680E-05  0.46106563220300E-05  0.21338283962770E-07
